,Unnamed: 0,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,age_category
36,37,53,2,1,2,0,-3,0,0,9,5,5.0,1666,1,-1,0,9,0,1
37,38,36,5,2,2,0,506,1,0,9,5,5.0,577,1,-1,0,9,0,1
38,39,37,5,1,2,0,0,1,0,9,5,5.0,137,1,-1,0,9,0,1
39,40,44,6,2,2,0,2586,1,0,9,5,5.0,160,1,-1,0,9,0,1
40,41,50,1,1,2,0,49,1,0,9,5,5.0,180,2,-1,0,9,0,1
41,42,60,3,1,9,0,104,1,0,9,5,5.0,22,1,-1,0,9,0,1
42,43,54,4,1,2,0,529,1,0,9,5,5.0,1492,1,-1,0,9,0,1
43,44,58,4,1,9,0,96,1,0,9,5,5.0,616,1,-1,0,9,0,1
44,45,36,5,1,3,0,-171,1,0,9,5,5.0,242,1,-1,0,9,0,1
45,46,58,7,1,1,0,-364,1,0,9,5,5.0,355,1,-1,0,9,0,1
46,47,44,2,1,2,0,0,1,0,9,5,5.0,225,2,-1,0,9,0,1
47,48,55,2,2,2,0,0,0,0,9,5,5.0,160,1,-1,0,9,0,1
48,49,29,1,1,1,0,0,1,0,9,5,5.0,363,1,-1,0,9,0,1
49,50,54,3,1,2,0,1291,1,0,9,5,5.0,266,1,-1,0,9,0,1
50,51,48,1,2,1,0,-244,1,0,9,5,5.0,253,1,-1,0,9,0,1
51,52,32,1,1,1,0,0,1,0,9,5,5.0,179,1,-1,0,9,0,1
52,53,42,5,1,2,0,-76,1,0,9,5,5.0,787,1,-1,0,9,0,1
53,54,24,2,1,2,0,-103,1,1,9,5,5.0,145,1,-1,0,9,0,1
54,55,38,3,1,1,0,243,0,1,9,5,5.0,174,1,-1,0,9,0,1
55,56,38,1,1,1,0,424,1,0,9,5,5.0,104,1,-1,0,9,0,1
56,57,47,3,1,9,0,306,1,0,9,5,5.0,13,1,-1,0,9,0,1
57,58,40,3,1,9,0,24,1,0,9,5,5.0,185,1,-1,0,9,0,1
58,59,46,6,1,3,0,179,1,0,9,5,5.0,1778,1,-1,0,9,0,1
59,60,32,5,1,1,0,0,1,0,9,5,5.0,138,1,-1,0,9,0,1
60,61,53,2,2,2,0,989,1,0,9,5,5.0,812,1,-1,0,9,0,1
61,62,57,3,1,3,0,249,1,0,9,5,5.0,164,1,-1,0,9,0,1
62,63,33,6,1,2,0,790,1,0,9,5,5.0,391,1,-1,0,9,0,1
63,64,49,3,1,9,0,154,1,0,9,5,5.0,357,1,-1,0,9,0,1
64,65,51,1,1,1,0,6530,1,0,9,5,5.0,91,1,-1,0,9,0,1
65,66,60,4,1,1,0,100,0,0,9,5,5.0,528,1,-1,0,9,0,1
66,67,59,1,2,1,0,59,1,0,9,5,5.0,273,1,-1,0,9,0,1
67,68,55,2,1,2,0,1205,1,0,9,5,5.0,158,2,-1,0,9,0,1
68,69,35,3,1,2,0,12223,1,1,9,5,5.0,177,1,-1,0,9,0,1
69,70,57,3,1,2,0,5935,1,1,9,5,5.0,258,1,-1,0,9,0,1
70,71,31,6,1,2,0,25,1,1,9,5,5.0,172,1,-1,0,9,0,1
71,72,54,1,1,2,0,282,1,1,9,5,5.0,154,1,-1,0,9,0,1
72,73,55,3,1,3,0,23,1,0,9,5,5.0,291,1,-1,0,9,0,1
73,74,43,2,1,2,0,1937,1,0,9,5,5.0,181,1,-1,0,9,0,1
74,75,53,2,1,2,0,384,1,0,9,5,5.0,176,1,-1,0,9,0,1
75,76,44,3,1,2,0,582,0,1,9,5,5.0,211,1,-1,0,9,0,1
76,77,55,6,2,2,0,91,0,0,9,5,5.0,349,1,-1,0,9,0,1
77,78,49,6,2,2,0,0,1,1,9,5,5.0,272,1,-1,0,9,0,1
78,79,55,6,2,2,1,1,1,0,9,5,5.0,208,1,-1,0,9,0,1
79,80,45,5,1,2,0,206,1,0,9,5,5.0,193,1,-1,0,9,0,1
80,81,47,6,2,2,0,164,0,0,9,5,5.0,212,1,-1,0,9,0,1
81,82,42,2,1,2,0,690,1,0,9,5,5.0,20,1,-1,0,9,0,1
82,83,59,5,1,2,0,2343,1,0,9,5,5.0,1042,1,-1,0,9,1,1
83,84,46,7,1,1,0,137,1,1,9,5,5.0,246,1,-1,0,9,0,1
84,85,51,3,1,3,0,173,1,0,9,5,5.0,529,2,-1,0,9,0,1
85,86,56,5,1,2,0,45,0,0,9,5,5.0,1467,1,-1,0,9,1,1
86,87,41,2,1,2,0,1270,1,0,9,5,5.0,1389,1,-1,0,9,1,1
87,88,46,1,2,2,0,16,1,1,9,5,5.0,188,2,-1,0,9,0,1
88,89,57,4,1,2,0,486,1,0,9,5,5.0,180,2,-1,0,9,0,1
89,90,42,1,1,2,0,50,0,0,9,5,5.0,48,1,-1,0,9,0,1
90,91,30,2,1,2,0,152,1,1,9,5,5.0,213,2,-1,0,9,0,1
91,92,60,5,1,2,0,290,1,0,9,5,5.0,583,1,-1,0,9,0,1
92,93,60,3,1,9,0,54,1,0,9,5,5.0,221,1,-1,0,9,0,1
93,94,57,3,2,2,0,-37,0,0,9,5,5.0,173,1,-1,0,9,0,1
94,95,36,1,1,1,0,101,1,1,9,5,5.0,426,1,-1,0,9,0,1
95,96,55,3,1,2,0,383,0,0,9,5,5.0,287,1,-1,0,9,0,1
96,97,60,4,1,1,0,81,1,0,9,5,5.0,101,1,-1,0,9,0,1
97,98,39,2,1,2,0,0,1,0,9,5,5.0,203,1,-1,0,9,0,1
98,99,46,1,1,1,0,229,1,0,9,5,5.0,197,1,-1,0,9,0,1
99,100,44,3,1,2,0,-674,1,0,9,5,5.0,257,1,-1,0,9,0,1
100,101,53,3,1,3,0,90,0,0,9,5,5.0,124,1,-1,0,9,0,1
101,102,52,3,1,3,0,128,1,0,9,5,5.0,229,1,-1,0,9,0,1
102,103,59,3,1,3,0,179,1,0,9,5,5.0,55,3,-1,0,9,0,1
103,104,27,2,1,1,0,0,1,0,9,5,5.0,400,1,-1,0,9,0,1
104,105,44,3,1,2,0,54,1,0,9,5,5.0,197,1,-1,0,9,0,1
105,106,47,2,1,1,0,151,1,0,9,5,5.0,190,1,-1,0,9,0,1
106,107,34,5,1,2,0,61,0,1,9,5,5.0,21,1,-1,0,9,0,1
107,108,59,4,1,2,0,30,1,0,9,5,5.0,514,1,-1,0,9,0,1
108,109,45,1,1,1,0,523,1,0,9,5,5.0,849,2,-1,0,9,0,1
109,110,29,6,2,2,0,31,1,0,9,5,5.0,194,1,-1,0,9,0,1
110,111,46,2,2,2,0,79,0,0,9,5,5.0,144,1,-1,0,9,0,1
111,112,56,7,1,3,0,-34,1,1,9,5,5.0,212,2,-1,0,9,0,1
112,113,36,3,1,3,0,448,1,0,9,5,5.0,286,1,-1,0,9,0,1
113,114,59,4,2,3,0,81,1,0,9,5,5.0,107,1,-1,0,9,0,1
114,115,44,3,1,2,0,144,1,0,9,5,5.0,247,2,-1,0,9,0,1
115,116,41,5,1,2,0,351,1,0,9,5,5.0,518,1,-1,0,9,0,1
116,117,33,1,1,1,0,-67,1,0,9,5,5.0,364,1,-1,0,9,0,1
117,118,59,1,2,1,0,262,0,0,9,5,5.0,178,1,-1,0,9,0,1
118,119,57,2,1,3,0,0,0,0,9,5,5.0,98,1,-1,0,9,0,1
119,120,56,2,2,9,0,56,1,0,9,5,5.0,439,1,-1,0,9,0,1
120,121,51,3,1,2,0,26,1,0,9,5,5.0,79,1,-1,0,9,0,1
121,122,34,5,1,9,0,3,1,0,9,5,5.0,120,3,-1,0,9,0,1
122,123,43,6,1,2,0,41,1,1,9,5,5.0,127,2,-1,0,9,0,1
123,124,52,2,1,1,0,7,0,1,9,5,5.0,175,1,-1,0,9,0,1
124,125,33,2,1,2,0,105,1,0,9,5,5.0,262,2,-1,0,9,0,1
125,126,29,5,1,2,0,818,1,1,9,5,5.0,61,1,-1,0,9,0,1
126,127,34,6,1,2,0,-16,1,1,9,5,5.0,78,1,-1,0,9,0,1
127,128,31,3,1,2,0,0,1,0,9,5,5.0,143,1,-1,0,9,0,1
128,129,55,6,1,2,0,2476,1,0,9,5,5.0,579,1,-1,0,9,1,1
129,130,55,1,1,9,0,1185,0,0,9,5,5.0,677,1,-1,0,9,0,1
130,131,32,5,1,2,0,217,1,0,9,5,5.0,345,1,-1,0,9,0,1
131,132,38,2,1,2,0,1685,1,0,9,5,5.0,185,1,-1,0,9,0,1
132,133,55,5,1,2,0,802,1,1,9,5,5.0,100,2,-1,0,9,0,1
133,134,28,8,1,1,0,0,1,0,9,5,5.0,125,2,-1,0,9,0,1
134,135,23,3,1,2,0,94,1,0,9,5,5.0,193,1,-1,0,9,0,1
135,136,32,2,1,2,0,0,1,0,9,5,5.0,136,1,-1,0,9,0,1
136,137,43,6,1,9,0,0,0,0,9,5,5.0,73,1,-1,0,9,0,1
137,138,32,3,1,2,0,517,1,0,9,5,5.0,528,1,-1,0,9,0,1
138,139,46,3,1,2,0,265,1,0,9,5,5.0,541,1,-1,0,9,0,1
139,140,53,9,2,3,0,947,1,0,9,5,5.0,163,1,-1,0,9,0,1
140,141,34,7,1,2,0,3,1,0,9,5,5.0,301,1,-1,0,9,0,1
141,142,57,8,1,1,0,42,0,0,9,5,5.0,46,1,-1,0,9,0,1
142,143,37,3,1,2,0,37,1,0,9,5,5.0,204,1,-1,0,9,0,1
143,144,59,3,1,2,0,57,1,0,9,5,5.0,98,1,-1,0,9,0,1
144,145,33,6,1,2,0,22,1,0,9,5,5.0,71,1,-1,0,9,0,1
145,146,56,3,2,3,0,8,1,0,9,5,5.0,157,2,-1,0,9,0,1
146,147,48,8,1,2,0,293,1,0,9,5,5.0,243,1,-1,0,9,0,1
147,148,43,6,1,3,0,3,1,0,9,5,5.0,186,2,-1,0,9,0,1
148,149,54,3,1,3,0,348,1,0,9,5,5.0,579,2,-1,0,9,0,1
149,150,51,3,1,9,0,-19,1,0,9,5,5.0,163,2,-1,0,9,0,1
150,151,26,10,1,2,0,0,1,0,9,5,5.0,610,2,-1,0,9,0,1
151,152,40,1,1,1,0,-4,1,0,9,5,5.0,2033,1,-1,0,9,0,1
152,153,39,1,1,2,0,18,1,0,9,5,5.0,85,1,-1,0,9,0,1
153,154,50,2,1,3,0,139,0,0,9,5,5.0,114,2,-1,0,9,0,1
154,155,41,6,1,2,0,0,1,0,9,5,5.0,114,2,-1,0,9,0,1
155,156,51,3,1,9,0,1883,1,0,9,5,5.0,57,1,-1,0,9,0,1
156,157,60,4,2,2,0,216,1,0,9,5,5.0,238,1,-1,0,9,0,1
157,158,52,3,1,2,0,782,1,0,9,5,5.0,93,3,-1,0,9,0,1
158,159,48,3,1,2,0,904,1,0,9,5,5.0,128,2,-1,0,9,0,1
159,160,48,6,1,9,0,1705,1,0,9,5,5.0,107,1,-1,0,9,0,1
160,161,39,2,1,1,0,47,1,0,9,5,5.0,181,1,-1,0,9,0,1
161,162,47,6,1,2,0,176,1,0,9,5,5.0,303,2,-1,0,9,0,1
162,163,40,3,1,2,0,1225,1,0,9,5,5.0,558,5,-1,0,9,0,1
163,164,45,2,1,2,0,86,1,0,9,5,5.0,270,1,-1,0,9,0,1
164,165,26,5,1,2,0,82,1,0,9,5,5.0,228,1,-1,0,9,0,1
165,166,52,1,1,1,0,271,1,0,9,5,5.0,99,1,-1,0,9,0,1
166,167,54,2,1,2,0,1378,1,0,9,5,5.0,240,1,-1,0,9,0,1
167,168,54,5,1,1,0,184,0,0,9,5,5.0,673,2,-1,0,9,1,1
168,169,50,3,1,3,0,0,0,0,9,5,5.0,233,3,-1,0,9,0,1
169,170,35,3,1,2,0,0,1,0,9,5,5.0,1056,1,-1,0,9,0,1
170,171,44,6,1,2,0,1357,1,1,9,5,5.0,250,1,-1,0,9,0,1
171,172,53,3,1,9,0,19,1,0,9,5,5.0,252,1,-1,0,9,0,1
172,173,35,4,1,3,0,434,0,0,9,5,5.0,138,1,-1,0,9,0,1
173,174,60,5,2,2,0,92,1,0,9,5,5.0,130,1,-1,0,9,0,1
174,175,53,5,2,2,0,1151,1,0,9,5,5.0,412,1,-1,0,9,0,1
175,176,48,8,1,2,0,41,1,0,9,5,5.0,179,2,-1,0,9,0,1
176,177,34,2,1,2,0,51,1,0,9,5,5.0,19,2,-1,0,9,0,1
177,178,54,6,1,2,0,214,1,0,9,5,5.0,458,2,-1,0,9,0,1
178,179,51,1,1,2,0,1161,1,0,9,5,5.0,717,1,-1,0,9,0,1
179,180,31,6,1,1,0,37,1,0,9,5,5.0,313,1,-1,0,9,0,1
180,181,35,2,2,2,0,787,1,0,9,5,5.0,683,2,-1,0,9,0,1
181,182,35,6,1,2,0,59,1,0,9,5,5.0,1077,1,-1,0,9,0,1
182,183,38,2,1,2,0,253,1,0,9,5,5.0,416,1,-1,0,9,0,1
183,184,36,5,1,1,0,211,1,0,9,5,5.0,146,2,-1,0,9,0,1
184,185,58,4,1,3,0,235,1,0,9,5,5.0,167,1,-1,0,9,0,1
185,186,40,6,2,9,0,4384,1,0,9,5,5.0,315,1,-1,0,9,0,1
186,187,54,1,1,2,0,4080,0,0,9,5,5.0,140,1,-1,0,9,0,1
187,188,34,3,1,2,0,53,1,1,9,5,5.0,346,1,-1,0,9,0,1
188,189,31,1,1,1,0,0,1,0,9,5,5.0,562,1,-1,0,9,0,1
189,190,51,4,1,2,0,2127,1,0,9,5,5.0,172,1,-1,0,9,0,1
190,191,33,1,1,1,0,377,1,0,9,5,5.0,217,1,-1,0,9,0,1
191,192,55,1,1,1,0,73,1,0,9,5,5.0,142,2,-1,0,9,0,1
192,193,42,5,1,2,0,445,1,0,9,5,5.0,67,1,-1,0,9,0,1
193,194,34,3,1,2,0,243,1,0,9,5,5.0,291,1,-1,0,9,0,1
194,195,33,3,1,2,0,307,1,0,9,5,5.0,309,2,-1,0,9,0,1
195,196,38,6,1,2,0,155,1,0,9,5,5.0,248,1,-1,0,9,0,1
196,197,50,2,2,1,0,173,0,1,9,5,5.0,98,1,-1,0,9,0,1
197,198,43,1,1,1,0,400,1,0,9,5,5.0,256,1,-1,0,9,0,1
198,199,61,3,2,3,0,1428,1,0,9,5,5.0,82,2,-1,0,9,0,1
199,200,47,5,1,2,0,219,1,0,9,5,5.0,577,1,-1,0,9,0,1
200,201,48,7,1,1,0,7,1,0,9,5,5.0,286,1,-1,0,9,0,1
201,202,44,3,1,2,0,575,1,0,9,5,5.0,477,1,-1,0,9,0,1
202,203,35,10,1,9,0,298,1,0,9,5,5.0,611,2,-1,0,9,0,1
203,204,35,6,1,2,0,0,1,0,9,5,5.0,471,1,-1,0,9,0,1
204,205,50,6,1,2,0,5699,1,0,9,5,5.0,381,2,-1,0,9,0,1
205,206,41,1,1,1,0,176,1,1,9,5,5.0,42,1,-1,0,9,0,1
206,207,41,1,1,1,0,517,1,0,9,5,5.0,251,1,-1,0,9,0,1
207,208,39,6,1,9,0,257,1,0,9,5,5.0,408,1,-1,0,9,0,1
208,209,42,4,1,2,0,56,1,0,9,5,5.0,215,1,-1,0,9,0,1
209,210,38,3,1,2,0,-390,1,0,9,5,5.0,287,1,-1,0,9,0,1
210,211,53,4,1,2,0,330,1,0,9,5,5.0,216,2,-1,0,9,0,1
211,212,59,9,2,3,0,195,0,0,9,5,5.0,366,2,-1,0,9,0,1
212,213,36,6,1,2,0,301,1,0,9,5,5.0,210,1,-1,0,9,0,1
213,214,54,3,1,3,0,-41,1,0,9,5,5.0,288,1,-1,0,9,0,1
214,215,40,2,1,1,0,483,1,0,9,5,5.0,168,1,-1,0,9,0,1
215,217,53,8,1,9,0,13,0,0,9,5,5.0,410,3,-1,0,9,0,1
216,218,46,9,1,3,0,965,0,0,9,5,5.0,177,1,-1,0,9,0,1
217,219,39,1,1,1,0,378,1,1,9,5,5.0,127,2,-1,0,9,0,1
218,220,40,8,1,2,0,219,1,0,9,5,5.0,357,1,-1,0,9,0,1
219,221,28,3,1,3,0,324,1,0,9,5,5.0,175,1,-1,0,9,0,1
220,222,35,3,2,2,0,-69,1,0,9,5,5.0,300,1,-1,0,9,0,1
221,223,55,4,1,2,0,0,0,1,9,5,5.0,136,1,-1,0,9,0,1
222,224,43,2,2,9,0,205,1,0,9,5,5.0,1419,1,-1,0,9,0,1
223,225,48,3,1,3,0,278,1,0,9,5,5.0,125,2,-1,0,9,0,1
224,226,58,1,1,9,0,1065,1,0,9,5,5.0,213,3,-1,0,9,0,1
225,227,33,1,1,1,0,34,1,0,9,5,5.0,27,1,-1,0,9,0,1
226,228,36,3,1,9,0,1033,0,0,9,5,5.0,238,2,-1,0,9,0,1
227,229,53,6,2,2,0,1467,1,0,9,5,5.0,124,1,-1,0,9,0,1
228,230,47,3,1,3,0,-12,1,0,9,5,5.0,18,1,-1,0,9,0,1
229,231,31,6,1,2,0,388,1,0,9,5,5.0,730,2,-1,0,9,0,1
230,232,57,3,1,2,0,294,1,0,9,5,5.0,746,2,-1,0,9,0,1
231,233,53,3,1,9,0,1827,0,0,9,5,5.0,121,1,-1,0,9,0,1
232,234,55,3,1,3,0,627,1,0,9,5,5.0,247,1,-1,0,9,0,1
233,235,45,3,1,3,0,25,1,0,9,5,5.0,40,1,-1,0,9,0,1
234,236,53,5,2,2,0,315,1,0,9,5,5.0,181,2,-1,0,9,0,1
235,237,37,3,1,3,0,0,1,0,9,5,5.0,79,1,-1,0,9,0,1
236,238,44,5,2,2,0,66,1,0,9,5,5.0,206,1,-1,0,9,0,1
237,239,49,3,2,3,0,-9,1,1,9,5,5.0,389,1,-1,0,9,0,1
238,240,46,2,1,2,0,349,1,1,9,5,5.0,127,1,-1,0,9,0,1
239,241,43,3,1,9,0,100,1,0,9,5,5.0,702,1,-1,0,9,0,1
240,242,38,5,1,2,0,0,0,0,9,5,5.0,151,1,-1,0,9,0,1
241,243,43,2,1,2,0,434,1,0,9,5,5.0,117,1,-1,0,9,0,1
242,244,49,1,1,1,0,3237,1,0,9,5,5.0,232,3,-1,0,9,0,1
243,245,42,1,1,9,0,275,0,0,9,5,5.0,408,2,-1,0,9,0,1
244,246,22,3,1,2,0,0,1,0,9,5,5.0,179,2,-1,0,9,0,1
245,247,40,1,1,1,0,207,1,0,9,5,5.0,39,1,-1,0,9,0,1
246,248,39,3,1,2,0,483,1,0,9,5,5.0,282,1,-1,0,9,0,1
247,249,51,6,1,2,0,2248,1,0,9,5,5.0,714,2,-1,0,9,0,1
248,250,49,5,1,2,0,428,1,0,9,5,5.0,50,1,-1,0,9,0,1
249,251,53,3,1,2,0,0,1,1,9,5,5.0,181,1,-1,0,9,0,1
250,252,34,6,1,2,0,0,1,0,9,5,5.0,142,1,-1,0,9,0,1
251,253,33,2,2,2,0,140,1,0,9,5,5.0,227,1,-1,0,9,0,1
252,254,50,1,1,1,0,297,1,0,9,5,5.0,119,1,-1,0,9,0,1
253,255,39,3,1,3,0,279,1,0,9,5,5.0,361,1,-1,0,9,0,1
254,256,59,3,2,2,0,901,1,0,9,5,5.0,73,3,-1,0,9,0,1
255,257,30,2,1,2,0,2573,1,0,9,5,5.0,67,2,-1,0,9,0,1
256,258,36,6,1,2,0,143,1,1,9,5,5.0,350,1,-1,0,9,0,1
257,259,40,3,1,2,0,475,1,0,9,5,5.0,332,2,-1,0,9,0,1
258,260,53,3,1,2,0,70,1,0,9,5,5.0,611,2,-1,0,9,0,1
259,261,34,1,1,1,0,318,1,0,9,5,5.0,113,2,-1,0,9,0,1
260,262,37,2,1,2,0,275,1,0,9,5,5.0,132,1,-1,0,9,0,1
261,263,42,1,2,1,0,742,1,0,9,5,5.0,58,3,-1,0,9,0,1
262,264,41,3,1,3,0,236,1,0,9,5,5.0,151,1,-1,0,9,0,1
263,265,30,10,1,1,0,25,1,0,9,5,5.0,89,2,-1,0,9,0,1
264,266,37,1,1,1,0,600,1,0,9,5,5.0,152,1,-1,0,9,0,1
265,267,39,5,2,2,0,-349,1,0,9,5,5.0,611,2,-1,0,9,0,1
266,268,41,3,1,3,0,183,1,1,9,5,5.0,110,2,-1,0,9,0,1
267,269,40,3,1,3,0,0,1,0,9,5,5.0,463,1,-1,0,9,0,1
268,270,42,1,1,1,0,0,1,1,9,5,5.0,562,2,-1,0,9,1,1
269,271,40,3,2,3,0,0,1,0,9,5,5.0,962,1,-1,0,9,0,1
270,272,57,2,1,2,0,1078,1,0,9,5,5.0,10,4,-1,0,9,0,1
271,273,56,3,2,2,0,155,0,0,9,5,5.0,118,3,-1,0,9,0,1
272,274,37,5,1,2,0,190,1,0,9,5,5.0,92,2,-1,0,9,0,1
273,275,59,4,1,2,0,319,1,0,9,5,5.0,143,3,-1,0,9,0,1
274,276,39,6,2,2,0,-185,1,0,9,5,5.0,189,3,-1,0,9,0,1
275,277,49,6,1,2,0,47,0,0,9,5,5.0,234,2,-1,0,9,0,1
276,278,38,6,1,2,0,570,1,0,9,5,5.0,75,2,-1,0,9,0,1
277,279,36,7,1,1,0,19,0,0,9,5,5.0,189,2,-1,0,9,0,1
278,280,50,3,1,3,0,61,1,0,9,5,5.0,621,3,-1,0,9,0,1
279,281,41,5,1,2,0,-62,1,1,9,5,5.0,55,2,-1,0,9,0,1
280,282,54,2,1,1,0,258,0,0,9,5,5.0,310,4,-1,0,9,0,1
281,283,58,3,1,3,0,76,1,0,9,5,5.0,156,2,-1,0,9,0,1
282,284,30,3,1,2,0,0,1,0,9,5,5.0,5,2,-1,0,9,0,1
283,285,33,5,1,2,0,352,1,0,9,5,5.0,225,2,-1,0,9,0,1
284,286,47,5,1,2,0,368,1,0,9,5,5.0,125,2,-1,0,9,0,1
285,287,50,2,1,1,0,339,1,0,9,5,5.0,2,3,-1,0,9,0,1
286,288,32,3,1,2,0,1331,1,0,9,5,5.0,286,2,-1,0,9,0,1
287,289,40,7,1,2,0,672,1,0,9,5,5.0,164,2,-1,0,9,0,1
288,290,37,1,1,1,0,58,1,0,9,5,5.0,98,2,-1,0,9,0,1
289,291,54,2,1,9,0,447,1,0,9,5,5.0,742,2,-1,0,9,0,1
290,292,24,10,1,2,0,423,1,0,9,5,5.0,226,3,-1,0,9,0,1
291,293,54,1,1,1,0,0,0,0,9,5,5.0,120,2,-1,0,9,0,1
292,294,34,2,1,2,0,19,1,0,9,5,5.0,362,4,-1,0,9,0,1
293,295,56,2,2,3,0,13,1,0,9,5,5.0,357,2,-1,0,9,0,1
294,296,31,3,1,2,0,3,1,0,9,5,5.0,200,2,-1,0,9,0,1
295,297,24,10,1,2,0,82,1,0,9,5,5.0,204,2,-1,0,9,0,1
296,298,42,3,2,3,0,28,1,0,9,5,5.0,126,3,-1,0,9,0,1
297,299,57,2,1,2,0,792,1,0,9,5,5.0,65,2,-1,0,9,0,1
298,300,42,3,1,9,0,408,1,0,9,5,5.0,107,2,-1,0,9,0,1
299,301,51,5,1,2,0,531,1,0,9,5,5.0,267,2,-1,0,9,0,1
300,302,57,4,1,2,0,211,1,0,9,5,5.0,248,2,-1,0,9,0,1
301,303,36,6,1,2,0,62,1,0,9,5,5.0,215,2,-1,0,9,0,1
302,304,53,6,1,9,0,257,1,0,9,5,5.0,209,2,-1,0,9,0,1
303,305,50,2,1,2,0,1234,1,0,9,5,5.0,205,2,-1,0,9,0,1
304,306,54,1,1,1,0,313,1,0,9,5,5.0,83,2,-1,0,9,0,1
305,307,55,3,1,2,0,89,1,0,9,5,5.0,106,3,-1,0,9,0,1
306,308,44,3,1,2,0,129,1,1,9,5,5.0,189,2,-1,0,9,0,1
307,309,43,1,1,9,0,0,1,0,9,5,5.0,105,2,-1,0,9,0,1
308,310,56,5,1,2,0,353,1,0,9,5,5.0,106,2,-1,0,9,0,1
309,311,54,2,1,9,0,851,1,0,9,5,5.0,108,2,-1,0,9,0,1
310,312,55,6,2,3,0,96,1,1,9,5,5.0,311,2,-1,0,9,0,1
311,313,37,6,2,2,0,398,1,1,9,5,5.0,214,2,-1,0,9,0,1
312,314,33,5,1,1,0,193,0,0,9,5,5.0,132,2,-1,0,9,0,1
313,315,46,5,1,2,0,-358,1,0,9,5,5.0,358,2,-1,0,9,0,1
314,316,36,3,1,2,0,539,1,1,9,5,5.0,453,2,-1,0,9,0,1
315,317,51,2,1,2,0,0,1,0,9,5,5.0,364,2,-1,0,9,0,1
316,318,40,4,1,3,0,0,0,0,9,5,5.0,136,2,-1,0,9,0,1
317,319,42,3,1,2,0,490,1,0,9,5,5.0,386,2,-1,0,9,0,1
318,320,51,3,1,2,0,0,1,0,9,5,5.0,173,2,-1,0,9,0,1
319,321,49,3,1,9,0,403,1,0,9,5,5.0,241,2,-1,0,9,0,1
320,322,48,1,1,2,0,161,1,0,9,5,5.0,224,3,-1,0,9,0,1
